"Ticker","TickerType","Company","Traded","Transaction","Trade_Size_USD","Subholding","Description","Name","Filed","Party","District","Chamber","Comments","excess_return","State","last_modified"
"MA","ST","MASTERCARD INCORPORATED",2020-10-28,"Purchase","$1,001 - $15,000","CREATION AGENTS LLC 401K","","Cindy Axne",2021-10-08,"D"," IA03","House","",6.66876484168474,"Iowa",2023-11-16
"MDT","ST","MEDTRONIC PLC. ORDINARY SHARES",2020-10-28,"Purchase","$1,001 - $15,000","NEUBERGER BERMAN - INDIVIDUAL","","Alan S. Lowenthal",2020-11-04,"D"," CA47","House","",-75.1732708902673,"California",2023-11-16
"MDT","ST","MEDTRONIC PLC. ORDINARY SHARES",2020-10-28,"Purchase","$1,001 - $15,000","NEUBERGER BERMAN - BENEFICIARY IRA","","Alan S. Lowenthal",2020-11-04,"D"," CA47","House","",-75.1732708902673,"California",2023-11-16
"ROP","ST","ROPER TECHNOLOGIES, INC.",2020-10-28,"Sale","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-7.69467668428386,"New Jersey",2023-11-16
"USB","ST","U.S. BANCORP",2020-10-28,"Sale","$1,001 - $15,000","MORGAN STANLEY IRA - X141","","Lois Frankel",2020-11-24,"D"," FL21","House","",-43.8184387896622,"Florida",2023-11-16
"BX","ST","THE BLACKSTONE GROUP INC. CLASS A",2020-10-28,"Purchase","$1,001 - $15,000","","PART OF MY SPOUSE'S RETIREMENT PORTFOLIO.","Earl Blumenauer",2020-11-03,"D"," OR03","House","",91.8652553020322,"Oregon",2023-11-16
"GWRE","ST","GUIDEWIRE SOFTWARE, INC.",2020-10-28,"Purchase","$100,001 - $250,000","RIVERBRIDGE MANAGED ACCOUNT - SMALL CAP US EQUITIES","","Greg Gianforte",2020-11-09,"R"," MT00","House","",-42.0484237160502,"Montana",2023-11-16
"PXD","ST","PIONEER NATURAL RESOURCES COMPANY",2020-10-28,"Purchase","$1,001 - $15,000","MORGAN STANLEY IRA - X141","","Lois Frankel",2020-11-24,"D"," FL21","House","",154.532986246941,"Florida",2023-11-16
"F","ST","FORD MOTOR COMPANY",2020-10-28,"Purchase","$15,001 - $50,000","","","Susan A. Davis",2020-11-30,"D"," CA53","House","",-0.0100755711113223,"California",2023-11-16
"CSIQ","ST","CANADIAN SOLAR INC. - COMMON SHARES",2020-10-28,"Purchase","$15,001 - $50,000","","","Susan A. Davis",2020-11-30,"D"," CA53","House","",-105.462091310045,"California",2023-11-16
"V","ST","VISA INC.",2020-10-28,"Purchase","$1,001 - $15,000","CREATION AGENTS LLC 401K","","Cindy Axne",2021-10-08,"D"," IA03","House","",-0.145366829308536,"Iowa",2023-11-16
"ENPH","ST","ENPHASE ENERGY, INC.",2020-10-28,"Purchase","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-51.8479254947506,"New Jersey",2023-11-16
"VSAT","ST","VIASAT, INC.",2020-10-28,"Purchase","$1,001 - $15,000","","","Susan A. Davis",2020-11-30,"D"," CA53","House","",-104.595368290888,"California",2023-11-16
"AXP","ST","AMERICAN EXPRESS COMPANY",2020-10-28,"Purchase","$1,001 - $15,000","MORGAN STANLEY IRA - X141","","Lois Frankel",2020-11-24,"D"," FL21","House","",81.8599975871714,"Florida",2023-11-16
"GE","ST","GENERAL ELECTRIC COMPANY",2020-10-28,"Sale","$1,001 - $15,000","","","Austin Scott",2020-12-30,"R"," GA08","House","",127.884741875593,"Georgia",2023-11-16
"BAC","ST","BANK OF AMERICA CORPORATION",2020-10-28,"Sale","$15,001 - $50,000","","","Mo Brooks",2020-11-08,"R"," AL05","House","",-5.75999671941339,"Alabama",2023-11-16
"PRLB","ST","PROTO LABS, INC. COMMON STOCK",2020-10-28,"Sale","$100,001 - $250,000","RIVERBRIDGE MANAGED ACCOUNT - SMALL CAP US EQUITIES","","Greg Gianforte",2020-11-09,"R"," MT00","House","",-127.623155198488,"Montana",2023-11-16
"MDT","ST","MEDTRONIC PLC. ORDINARY SHARES",2020-10-28,"Purchase","$15,001 - $50,000","NEUBERGER BERMAN - TRADITIONAL IRA","","Alan S. Lowenthal",2020-11-04,"D"," CA47","House","",-75.1732708902673,"California",2023-11-16
"PHR","ST","PHREESIA, INC.",2020-10-27,"Purchase","$1,001 - $15,000","150 MAIN STREET TRUST > U.S. TRUST HOLDINGS","","Gilbert Cisneros",2020-11-05,"D"," CA39","House","",-90.3274125971741,"California",2023-11-16
"FSLY","ST","FASTLY, INC. CLASS A",2020-10-27,"Sale","$15,001 - $50,000","","SHORT SALE","Tom Malinowski",2021-03-05,"D"," NJ07","House","",-134.318629998524,"New Jersey",2023-11-16
"HXL","ST","HEXCEL CORPORATION",2020-10-27,"Sale","$1,001 - $15,000","MORGAN STANLEY IRA - X142","","Lois Frankel",2020-11-24,"D"," FL21","House","",65.2584653748366,"Florida",2023-11-16
"CVNA","ST","CARVANA CO. CLASS A",2020-10-26,"Purchase","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-111.223529105235,"New Jersey",2023-11-16
"WCLD","ST","WISDOMTREE CLOUD COMPUTING FUND",2020-10-26,"Sale","$1,001 - $15,000","NATIONAL SECURITIES- ADVISOR DISCRETION ACCOUNT","","Thomas Suozzi",2021-09-23,"D"," NY03","House","",-74.7696041918537,"New York",2023-11-16
"ROG","ST","ROGERS CORPORATION",2020-10-26,"Purchase","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-41.2263144076788,"New Jersey",2023-11-16
"GNRC","ST","GENERAC HOLDLINGS INC.",2020-10-26,"Purchase","$1,001 - $15,000","ROTH IRA","","James R. Langevin",2020-11-17,"D"," RI02","House","",-97.565954582371,"Rhode Island",2023-11-16
"FAS","ST","DIREXION FINANCIAL BULL 3X SHARES",2020-10-26,"Purchase","$15,001 - $50,000","","","Michael Garcia",2020-11-23,"R"," CA25","House","",123.762095874986,"California",2023-11-16
"TSLA","ST","TESLA, INC.",2020-10-26,"Purchase","$1,001 - $15,000","","","Michael Garcia",2020-11-23,"R"," CA25","House","",-33.9829560424436,"California",2023-11-16
"PYPL","ST","PAYPAL HOLDINGS, INC.",2020-10-26,"Purchase","$1,001 - $15,000","ROTH IRA","","James R. Langevin",2020-11-17,"D"," RI02","House","",-118.872894815875,"Rhode Island",2023-11-16
"FLT","ST","FLEETCOR TECHNOLOGIES, INC.",2020-10-26,"Sale","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-28.1754600808693,"New Jersey",2023-11-16
"LRNZ","ST","TRUESHARES TECHNOLOGY, AI & DEEP LEARNING ETF",2020-10-26,"Sale","$1,001 - $15,000","NATIONAL SECURITIES- ADVISOR DISCRETION ACCOUNT","","Thomas Suozzi",2021-09-23,"D"," NY03","House","",-55.1395588750116,"New York",2023-11-16
"AAL","ST","AMERICAN AIRLINES GROUP, INC.",2020-10-26,"Purchase","$15,001 - $50,000","","","Michael Garcia",2020-11-23,"R"," CA25","House","",-32.435774779574,"California",2023-11-16
"TXN","ST","TEXAS INSTRUMENTS INCORPORATED",2020-10-26,"Purchase","$1,001 - $15,000","","","David E. Price",2020-11-06,"D"," NC04","House","",-32.5359948456519,"North Carolina",2023-11-16
"EXAS","ST","EXACT SCIENCES CORPORATION",2020-10-26,"Purchase","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-96.5886590936956,"New Jersey",2023-11-16
"LYFT","ST","LYFT, INC. - CLASS A",2020-10-26,"Sale","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-81.3769303787989,"New Jersey",2023-11-16
"TGT","ST","TARGET CORPORATION",2020-10-26,"Purchase","$1,001 - $15,000","STOCKS, BONDS, & MUTUAL FUNDS","10 UNITS TARGET CORPORATION","Donald Sternoff Beyer Jr",2020-11-05,"D"," VA08","House","",-46.7844120986102,"Virginia",2023-11-16
"FIS","ST","FIDELITY NATIONAL INFORMATION SERVICES, INC.",2020-10-23,"Purchase","$1,001 - $15,000","NEUBERGER BERMAN - TRADITIONAL IRA","","Alan S. Lowenthal",2020-11-04,"D"," CA47","House","",-100.097705056132,"California",2023-11-16
"FIS","ST","FIDELITY NATIONAL INFORMATION SERVICES, INC.",2020-10-23,"Purchase","$288.04","NEUBERGER BERMAN - BENEFICIARY IRA","","Alan S. Lowenthal",2020-11-04,"D"," CA47","House","",-100.097705056132,"California",2023-11-16
"FIS","ST","FIDELITY NATIONAL INFORMATION SERVICES, INC.",2020-10-23,"Purchase","$288.04","NEUBERGER BERMAN - INDIVIDUAL","","Alan S. Lowenthal",2020-11-04,"D"," CA47","House","",-100.097705056132,"California",2023-11-16
"WBS","ST","WEBSTER FINANCIAL CORPORATION",2020-10-23,"Sale","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-5.61145120354904,"New Jersey",2023-11-16
"SBCF","ST","SEACOAST BANKING CORPORATION OF FLORIDA",2020-10-23,"Purchase","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-36.3779565162584,"New Jersey",2023-11-16
"SITE","ST","SITEONE LANDSCAPE SUPPLY, INC.",2020-10-23,"Sale","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-12.4662155232576,"New Jersey",2023-11-16
"OCFC","ST","OCEANFIRST FINANCIAL CORP.",2020-10-23,"Purchase","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-58.9902301010001,"New Jersey",2023-11-16
"NEE","ST","NEXTERA ENERGY, INC.",2020-10-23,"Purchase","$1,001 - $15,000","STOCKS, BONDS, & MUTUAL FUNDS","5 UNITS NEXTERA ENERGY","Donald Sternoff Beyer Jr",2020-11-05,"D"," VA08","House","",-68.6695287400272,"Virginia",2023-11-16
"ECL","ST","ECOLAB INC.",2020-10-23,"Sale","$1,001 - $15,000","STOCKS, BONDS, & MUTUAL FUNDS","10 UNITS ECOLAB INC","Donald Sternoff Beyer Jr",2020-11-05,"D"," VA08","House","",-37.3092034091853,"Virginia",2023-11-16
"UNH","ST","UNITEDHEALTH GROUP INCORPORATED COMMON STOCK",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",2.21354827467067,"Massachusetts",2023-11-16
"SPOT","ST","SPOTIFY TECHNOLOGY S.A. ORDINARY SHARES",2020-10-22,"Purchase","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-54.7186132814318,"New Jersey",2023-11-16
"ABT","ST","ABBOTT LABORATORIES",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-42.9799456655474,"Massachusetts",2023-11-16
"BMY","ST","BRISTOL-MYERS SQUIBB COMPANY",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-62.327333989741,"Massachusetts",2023-11-16
"ROK","ST","ROCKWELL AUTOMATION, INC.",2020-10-22,"Sale","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-31.1085667745834,"New Jersey",2023-11-16
"GH","ST","GUARDANT HEALTH, INC.",2020-10-22,"Purchase","$1,001 - $15,000","STOCKS, BONDS, & MUTUAL FUNDS","10 UNITS GUARDANT HEALTH INC COMMON","Donald Sternoff Beyer Jr",2020-11-05,"D"," VA08","House","",-131.194238228843,"Virginia",2023-11-16
"HALO","ST","HALOZYME THERAPEUTICS, INC.",2020-10-22,"Purchase","$1,001 - $15,000","150 MAIN STREET TRUST > U.S. TRUST HOLDINGS","","Gilbert Cisneros",2020-11-05,"D"," CA39","House","",-17.0446373399713,"California",2023-11-16
"WES","ST","WESTERN MIDSTREAM PARTNERS, LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS",2020-10-22,"Sale","$250,001 - $500,000","AXA RETIREMENT ACCOUNT","","Mark Green",2020-10-29,"R"," TN07","House","",222.024029427009,"Tennessee",2023-11-16
"BLDR","ST","BUILDERS FIRSTSOURCE, INC.",2020-10-22,"Sale","$1,001 - $15,000","DSL LIVING TRUST > BANK OF NEW YORK BROKERAGE ACCOUNT 340","","Susie Lee",2020-12-08,"D"," NV03","House","",457.701009830908,"Nevada",2023-11-16
"USDP","ST","USD PARTNERS LP COMMON UNITS REPRESENTING LIMITED PARTNER INTEREST",2020-10-22,"Purchase","$1,001 - $15,000","AXA RETIREMENT ACCOUNT","","Mark Green",2020-10-29,"R"," TN07","House","",-143.602231217449,"Tennessee",2023-11-16
"KMB","ST","KIMBERLY-CLARK CORPORATION",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-58.3326655442686,"Massachusetts",2023-11-16
"SLGN","ST","SILGAN HOLDINGS INC.",2020-10-22,"Sale","$1,001 - $15,000","150 MAIN STREET TRUST > U.S. TRUST HOLDINGS","","Gilbert Cisneros",2020-11-05,"D"," CA39","House","",-23.553707888926,"California",2023-11-16
"AMGN","ST","AMGEN INC.",2020-10-22,"Sale","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-30.5337489640631,"New Jersey",2023-11-16
"FIS","ST","FIDELITY NATIONAL INFORMATION SERVICES, INC.",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-100.039039531208,"Massachusetts",2023-11-16
"CCEP","ST","COCA-COLA EUROPEAN PARTNERS PLC ORDINARY SHARES",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",31.1657255539117,"Massachusetts",2023-11-16
"PHM","ST","PULTEGROUP, INC.",2020-10-22,"Sale","$1,001 - $15,000","DSL LIVING TRUST > BANK OF NEW YORK BROKERAGE ACCOUNT 340","","Susie Lee",2020-12-08,"D"," NV03","House","",111.614894962604,"Nevada",2023-11-16
"UNP","ST","UNION PACIFIC CORPORATION",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-18.0163961156412,"Massachusetts",2023-11-16
"GOOGL","ST","ALPHABET INC. - CLASS A",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",27.2739350104682,"Massachusetts",2023-11-16
"AAPL","ST","APPLE INC.",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",0.662216655292276,"Massachusetts",2023-11-16
"LDOS","ST","LEIDOS HOLDINGS, INC.",2020-10-22,"Sale","$1,001 - $15,000","TIAA JOINT","","Gerald E. Connolly",2020-11-03,"D"," VA11","House","",0.604001748331463,"Virginia",2023-11-16
"GEL","ST","GENESIS ENERGY, L.P. COMMON UNITS",2020-10-22,"Purchase","$50,001 - $100,000","AXA RETIREMENT ACCOUNT","","Mark Green",2020-10-29,"R"," TN07","House","",61.3304671952491,"Tennessee",2023-11-16
"MSFT","","MICROSOFT CORPORATION",2020-10-22,"Sale","$1,001 - $15,000","STOCKS, BONDS, & MUTUAL FUNDS","SALE 10 UNITS MICROSOFT CORP","Donald Sternoff Beyer Jr",2020-11-05,"D"," VA08","House","",45.3133328474432,"Virginia",2023-11-16
"KMB","ST","KIMBERLY-CLARK CORPORATION",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-58.3326655442686,"Massachusetts",2023-11-16
"NGG","ST","NATIONAL GRID TRANSCO, PLC NATIONAL GRID PLC",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-37.4656086713304,"Massachusetts",2023-11-16
"ET","ST","ENERGY TRANSFER LP COMMON UNITS",2020-10-22,"Purchase","$50,001 - $100,000","AXA RETIREMENT ACCOUNT","","Mark Green",2020-10-29,"R"," TN07","House","",96.9704671952491,"Tennessee",2023-11-16
"CEQP","ST","CRESTWOOD EQUITY PARTNERS LP",2020-10-22,"Sale","$100,001 - $250,000","AXA RETIREMENT ACCOUNT","","Mark Green",2020-10-29,"R"," TN07","House","",53.500471763522,"Tennessee",2023-11-16
"ELAN","ST","ELANCO ANIMAL HEALTH INCORPORATED",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-98.0525988727432,"Massachusetts",2023-11-16
"CEQP","ST","CRESTWOOD EQUITY PARTNERS LP",2020-10-22,"Purchase","$100,001 - $250,000","AXA RETIREMENT ACCOUNT","","Mark Green",2020-10-29,"R"," TN07","House","",53.500471763522,"Tennessee",2023-11-16
"INTC","ST","INTEL CORPORATION",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-69.3600708381461,"Massachusetts",2023-11-16
"WSC","ST","WILLSCOT MOBILE MINI HOLDINGS CORP. - CLASS A",2020-10-22,"Sale","$1,001 - $15,000","150 MAIN STREET TRUST > U.S. TRUST HOLDINGS","","Gilbert Cisneros",2020-11-05,"D"," CA39","House","",101.20259834279,"California",2023-11-16
"INVH","ST","INVITATION HOMES INC.",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-27.038480355984,"Massachusetts",2023-11-16
"HD","ST","HOME DEPOT, INC.",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-15.7230539315115,"Massachusetts",2023-11-16
"SRLP","ST","SPRAGUE RESOURCES LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS",2020-10-22,"Sale","$100,001 - $250,000","AXA RETIREMENT ACCOUNT","","Mark Green",2020-10-29,"R"," TN07","House","",15.1027621850977,"Tennessee",2023-11-16
"ORCL","ST","ORACLE CORPORATION",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",61.8504537926691,"Massachusetts",2023-11-16
"INVH","ST","INVITATION HOMES INC.",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-27.038480355984,"Massachusetts",2023-11-16
"SAIC","ST","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION",2020-10-22,"Sale","$1,001 - $15,000","TIAA JOINT","","Gerald E. Connolly",2020-11-03,"D"," VA11","House","",36.2255338791802,"Virginia",2023-11-16
"LGND","ST","LIGAND PHARMACEUTICALS INCORPORATED",2020-10-22,"Sale","$1,001 - $15,000","","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-64.5776281552347,"Massachusetts",2023-11-16
"MOS","ST","MOSAIC COMPANY",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",23.0964746778787,"Massachusetts",2023-11-16
"BMY","ST","BRISTOL-MYERS SQUIBB COMPANY",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-62.327333989741,"Massachusetts",2023-11-16
"MOS","ST","MOSAIC COMPANY",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",23.0964746778787,"Massachusetts",2023-11-16
"SNE","ST","SONY CORPORATION",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",27.0273235377087,"Massachusetts",2023-11-16
"CVNA","ST","CARVANA CO. CLASS A",2020-10-22,"Purchase","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-109.112460599014,"New Jersey",2023-11-16
"ELAN","ST","ELANCO ANIMAL HEALTH INCORPORATED",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-98.0525988727432,"Massachusetts",2023-11-16
"SNE","ST","SONY CORPORATION",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",27.0273235377087,"Massachusetts",2023-11-16
"CCEP","ST","COCA-COLA EUROPEAN PARTNERS PLC ORDINARY SHARES",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",31.1657255539117,"Massachusetts",2023-11-16
"JPM","ST","JP MORGAN CHASE & CO.",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",36.5032510210656,"Massachusetts",2023-11-16
"PBFX","ST","PBF LOGISTICS LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS",2020-10-22,"Purchase","$15,001 - $50,000","AXA RETIREMENT ACCOUNT","","Mark Green",2020-10-29,"R"," TN07","House","",111.230993515085,"Tennessee",2023-11-16
"GMLP","ST","GOLAR LNG PARTNERS LP - COMMON UNITS REPRESENTING LIMITED PARTNERSHIP",2020-10-22,"Purchase","$15,001 - $50,000","AXA RETIREMENT ACCOUNT","","Mark Green",2020-10-29,"R"," TN07","House","",48.2875975673777,"Tennessee",2023-11-16
"HOLX","ST","HOLOGIC, INC.",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-36.7879085587601,"Massachusetts",2023-11-16
"FIS","ST","FIDELITY NATIONAL INFORMATION SERVICES, INC.",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-100.039039531208,"Massachusetts",2023-11-16
"NGG","ST","NATIONAL GRID TRANSCO, PLC NATIONAL GRID PLC",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-37.4656086713304,"Massachusetts",2023-11-16
"GSK","ST","GLAXOSMITHKLINE PLC",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-52.2825849563611,"Massachusetts",2023-11-16
"LGND","ST","LIGAND PHARMACEUTICALS INCORPORATED",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-64.5776281552347,"Massachusetts",2023-11-16
"UNH","ST","UNITEDHEALTH GROUP INCORPORATED COMMON STOCK",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",2.21354827467067,"Massachusetts",2023-11-16
"Z","ST","ZILLOW GROUP, INC. - CLASS C CAPITAL STOCK",2020-10-22,"Purchase","$1,001 - $15,000","MORGAN STANLEY - SELECT UMA ACCOUNT # 1","","Josh Gottheimer",2020-11-05,"D"," NJ05","House","",-99.172157313947,"New Jersey",2023-11-16
"ABT","ST","ABBOTT LABORATORIES",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-42.9799456655474,"Massachusetts",2023-11-16
"TSM","ST","TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LTD.",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",6.81898323651423,"Massachusetts",2023-11-16
"UBS","ST","UBS GROUP AG REGISTERED ORDINARY SHARES",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",108.202492918722,"Massachusetts",2023-11-16
"AM","ST","ANTERO MIDSTREAM CORPORATION",2020-10-22,"Sale","$50,001 - $100,000","AXA RETIREMENT ACCOUNT","","Mark Green",2020-10-29,"R"," TN07","House","",55.1890037806149,"Tennessee",2023-11-16
"INTC","ST","INTEL CORPORATION",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-69.3600708381461,"Massachusetts",2023-11-16
"HSBC","ST","HSBC HOLDINGS, PLC.",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",40.9702292180552,"Massachusetts",2023-11-16
"USAC","ST","USA COMPRESSION PARTNERS, LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS",2020-10-22,"Purchase","$100,001 - $250,000","AXA RETIREMENT ACCOUNT","","Mark Green",2020-10-29,"R"," TN07","House","",89.6462839627512,"Tennessee",2023-11-16
"GLOP","ST","GASLOG PARTNERS LP COMMON UNITS REPRESENTING LIMITED PARTNERSHIP INTERESTS",2020-10-22,"Purchase","$15,001 - $50,000","AXA RETIREMENT ACCOUNT","","Mark Green",2020-10-29,"R"," TN07","House","",110.952564936331,"Tennessee",2023-11-16
"SKX","ST","SKECHERS U.S.A., INC.",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",27.8256915078395,"Massachusetts",2023-11-16
"HD","ST","HOME DEPOT, INC.",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",-15.7230539315115,"Massachusetts",2023-11-16
"GOOGL","ST","ALPHABET INC. - CLASS A",2020-10-22,"Sale","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",27.2739350104682,"Massachusetts",2023-11-16
"FLIR","ST","FLIR SYSTEMS, INC.",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE TRADITIONAL IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",36.5065101134764,"Massachusetts",2023-11-16
"COST","ST","COSTCO WHOLESALE CORPORATION",2020-10-22,"Purchase","$1,001 - $15,000","AMERIPRISE SEP IRA","","Katherine M. Clark",2020-12-03,"D"," MA05","House","",44.6455703223282,"Massachusetts",2023-11-16
